State,Q1,Q2,Q3,Q4
AK,0,0,3,4
AL,1045,67,51,11
AR,220,15,7,1
AZ,20,34,106,116
CA,602,236,116,4
CO,4,1,820,57
CT,6,24,14,18
DC,4,4,28,7
DE,1,1,1,0
FL,95,159,1410,88
GA,253,278,1093,41
HI,15,1,2,0
IA,58,36,32,96
ID,1,14,18,39
IL,444,39,41,13
IN,140,196,219,12
KS,19,20,46,158
KY,229,17,20,36
LA,212,220,513,150
MA,47,24,204,152
MD,29,51,141,39
ME,2,6,7,13
MI,6,8,82,165
MN,208,24,100,5
MO,114,211,142,80
MS,10,14,21,10
MT,7,1,5,8
NC,11,24,338,132
ND,45,27,5,0
NE,0,11,9,12
NH,1,48,30,0
NJ,16,7,66,189
NM,0,1,1,75
NV,5,1,3,1
NY,39,453,515,44
OH,500,259,235,9
OK,55,38,46,45
OR,336,59,25,2
PA,175,62,459,16
PR,1,4,0,0
RI,1,2,1,0
SC,707,45,7,1
SD,56,1,2,1
SE,0,0,0,0
TN,114,190,138,6
TX,1418,482,6,88
UT,61,10,3,2
VA,244,76,75,40
VT,0,0,0,1
WA,48,658,86,34
WI,27,34,44,49
WV,9,17,30,3
WY,0,0,1,0

